"Status","Class","FriendlyName","InstanceId"
"OK","System","Surface Pro X Integration","ACPI\MSHW0115\2&DABA3FF&0"
"OK","HIDClass","Surface Tcon","ACPI\MSHW0125\3&7B172E2&0"
"OK","System","Surface Hot Plug - KIP","ACPI\MSHW0153\2&DABA3FF&0"
"OK","System","Surface Light Sensor","ACPI\MSHW0184\1"
"OK","SurfaceSystemManagement","Surface Thermal Policy Driver","ACPI\MSHW0187\1"
"OK","HIDClass","Surface Digtizer HidSpi Extn Package","ACPI\MSHW0235\2&DABA3FF&0"
"OK","Camera","Surface Camera Front","ACPI\OVTI5693\1A"
"OK","Camera","Surface IR Camera Front","ACPI\OVTI7251\1C"
"OK","Camera","Surface Camera Rear","ACPI\OVTID858\15"
"OK","System","PCI Express Root Complex","ACPI\PNP0A08\0"
"OK","System","PCI Express Root Complex","ACPI\PNP0A08\2"
"OK","System","PCI Express Root Complex","ACPI\PNP0A08\3"
"OK","System","ACPI Lid","ACPI\PNP0C0D\2&DABA3FF&0"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\1"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\10"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\5"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\6"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\7"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\D"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\E"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040A\F"
"OK","System","Qualcomm(R) System Manager SCM Device","ACPI\QCOM040B\0"
"OK","System","Qualcomm(R) Bus Device","ACPI\QCOM040C\1"
"OK","System","Qualcomm(R) System Manager GPIO Device","ACPI\QCOM040D\0"
"OK","System","Qualcomm(R) Data Device","ACPI\QCOM040E\2&DABA3FF&0"
"OK","System","Surface Pro X SPI Device","ACPI\QCOM040F\2"
"OK","System","Surface Pro X SPI Device","ACPI\QCOM040F\4"
"OK","System","Qualcomm(R) I2C Bus Device","ACPI\QCOM0411\2"
"OK","System","Qualcomm(R) I2C Bus Device","ACPI\QCOM0411\5"
"OK","System","Qualcomm(R) I2C Bus Device","ACPI\QCOM0411\A"
"OK","System","Qualcomm(R) Hexagon(TM) 690 DSP","ACPI\QCOM0412\0"
"OK","System","Qualcomm(R) Hexagon(TM) 690 DSP","ACPI\QCOM0412\1"
"OK","System","Qualcomm(R) Hexagon(TM) 690 DSP","ACPI\QCOM0412\2"
"OK","System","Qualcomm(R) Memory and File System Device","ACPI\QCOM0417\2&DABA3FF&0"
"OK","Ports","Surface Pro X UART Device(COM2)","ACPI\QCOM0418\10"
"OK","Ports","Surface Pro X UART Device(COM1)","ACPI\QCOM0418\12"
"OK","Ports","Surface Pro X UART Device(COM3)","ACPI\QCOM0418\D"
"OK","Ports","Surface Pro X UART Device(COM4)","ACPI\QCOM0418\E"
"OK","System","Surface Pro X Power Engine Plug-in Device","ACPI\QCOM0419\2&DABA3FF&0"
"OK","System","Qualcomm(R) Peripheral Image Loader Device","ACPI\QCOM041B\2&DABA3FF&0"
"OK","System","Qualcomm(R) Aqstic(TM)","ACPI\QCOM041D\2&DABA3FF&0"
"OK","System","Snapdragon (TM) X24 LTE Modem","ACPI\QCOM041E\2&DABA3FF&0"
"OK","System","Qualcomm Service Manager Device","ACPI\QCOM0420\2&DABA3FF&0"
"OK","System","Qualcomm(R) All-Ways Aware(TM) Hub","ACPI\QCOM0421\2&DABA3FF&0"
"OK","System","Qualcomm Subsystem Dependency Device","ACPI\QCOM0422\2&DABA3FF&0"
"OK","System","Surface Pro X CDSP Subsystem","ACPI\QCOM0423\2&DABA3FF&0"
"OK","System","Qualcomm(R) ACPI Bridge Device","ACPI\QCOM0427\0"
"OK","Camera","Qualcomm(R) Spectra(TM) 390 ISP Camera ISP Device","ACPI\QCOM0428\16"
"OK","System","Qualcomm(R) Power Management","ACPI\QCOM042E\2&DABA3FF&0"
"OK","System","Qualcomm(R) Power Management","ACPI\QCOM042F\2&DABA3FF&0"
"OK","System","Surface Pro X PMIC GPIO Client Device","ACPI\QCOM0430\1"
"OK","System","Qualcomm(R) System Manager Device","ACPI\QCOM0432\2&DABA3FF&0"
"OK","System","Qualcomm(R) System Manager Device","ACPI\QCOM0433\2&DABA3FF&0"
"OK","Camera","Qualcomm(R) Spectra(TM) 390 ISP Camera Platform Device","ACPI\QCOM0435\1B"
"OK","Camera","Qualcomm(R) Spectra(TM) 390 ISP Camera JPEG Encoder Device","ACPI\QCOM0436\17"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM044C\0"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM0450\0"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM045C\0"
"OK","System","Surface Pro X Temperature Sensor Device","ACPI\QCOM045C\1"
